IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2025-03-31,2025-03-28,16095.7,28.92
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2025-06-30,2025-06-30,19075.1,33.69
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2025-09-30,2025-09-30,17562.75,30.33
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2025-12-31,2025-12-31,17713.95,32.18
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2026-03-31,2026-03-30,15203.8,25.91
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2026-06-30,2026-06-30,18863.1,32.52
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2016-06-30,2016-06-30,4586.69,1979.15
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2016-09-30,2016-09-30,4923.76,
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2016-12-31,2016-12-30,4599.77,
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2017-03-31,2017-03-31,5596.81,99.48
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2017-06-30,2017-06-30,5982.5,107.21
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2017-09-30,2017-09-29,6093.86,68.97
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2017-12-31,2017-12-29,7234.34,92.89
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2018-03-31,2018-03-28,6270.82,98.94
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2018-06-30,2018-06-29,5786.49,87.88
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2018-09-30,2018-09-28,5130.04,63.81
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2018-12-31,2018-12-31,5295.48,43.17
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2019-03-31,2019-03-29,5438.8,34.27
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2019-06-30,2019-06-28,5138.55,34.66
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2019-09-30,2019-09-30,4677.4,51.16
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2019-12-31,2019-12-31,4857.4,49.53
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2020-03-31,2020-03-31,3201.6,54.62
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2020-06-30,2020-06-30,4067.25,28.24
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2020-09-30,2020-09-30,5000.7,57.29
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2020-12-31,2020-12-31,6076.2,41.1
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2021-03-31,2021-03-31,6952.55,43.3
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2021-06-30,2021-06-30,8452.25,36.81
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2021-09-30,2021-09-30,9364.5,28.86
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2021-12-31,2021-12-31,9840,31.04
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2022-03-31,2022-03-31,9441.45,24.41
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2022-06-30,2022-06-30,8088.6,19.63
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2022-09-30,2022-09-30,9198.75,18.82
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2022-12-31,2022-12-30,9481.25,19.04
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2023-03-31,2023-03-31,8787.9,16.94
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2023-06-30,2023-06-30,10544.2,20.79
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2023-09-30,2023-09-29,12230.4,24.54
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2023-12-31,2023-12-29,14041.3,27.37
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2024-03-31,2024-03-28,14330.5,26.6
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2024-06-30,2024-06-28,17111.05,30.7
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2024-09-30,2024-09-30,18410.7,33.49
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2024-12-31,2024-12-31,17752.25,34.39
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2025-03-31,2025-03-28,15104.05,29.42
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2025-06-30,2025-06-30,17797.8,33.87
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2025-09-30,2025-09-30,16692.75,29.96
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2025-12-31,2025-12-31,16684.75,29.38
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2026-03-31,2026-03-30,14288.45,25.86
NIFTYSMALLCAP250,NIFTY Smallcap 250,Broad Market,2026-06-30,2026-06-30,17720.3,35.52
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2023-12-31,2023-12-29,41504,26.38
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2024-03-31,2024-03-28,42767.46,25.97
NIFTYSMALLCAP250MOMENTUMQUALITY100,NIFTY Smallcap250 Momentum Quality 100,Strategy / Thematic / Other,2024-06-30,2024-06-28,50989.02,29.86
